reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_2', 'h0_0', 'x_2']",-0.09382840572034921,-0.015682775444658976,-0.04527424722981532,x_2,-0.051595142798274506,0.03945440626073017,0.001556650173386744
"['h1_2', 'h0_1', 'x_0']",-0.08424871681029074,-0.014081596048582395,-0.04065183890081346,x_0,-0.04632738391989553,0.035426191828148296,0.001255015067444761
"['h1_1', 'h0_0', 'x_3']",-0.0007303173730583586,0.004313852818401304,0.06295107319660119,x_3,0.022178202880648045,0.035400298425031,0.0012531811285812523
"['h1_5', 'h0_0', 'x_3']",-0.00046453868308520615,0.004037786867229861,0.05820209225315245,x_3,0.0205917801457657,0.032649187071832834,0.0010659694164515364
"['h1_0', 'h0_0', 'x_3']",-0.0426038856508002,-0.007870063859859222,0.02104468640645854,x_3,-0.009809754368066961,0.031868589248392185,0.0010156069806827378
"['h1_3', 'h0_0', 'x_2']",-0.04460877687055934,-0.004517692436582481,0.014838529041093054,x_2,-0.011429313422016257,0.0303203466920006,0.0009193234235231119
"['h1_4', 'h0_1', 'x_0']",0.004922141197112085,0.005151842628455276,0.047619758129975334,x_0,0.019231247318514232,0.024585439801968628,0.0006044438502562231
"['h1_1', 'h0_0', 'x_2']",-0.000503125095909863,0.002971869070990531,0.04336780954153462,x_2,0.015278851172205099,0.024387724018867428,0.0005947610828204433
"['h1_0', 'h0_1', 'x_0']",-0.03164226234356513,-0.005845162278281512,0.015630064676946033,x_0,-0.007285786648300203,0.02366906788226263,0.0005602247744151564
"['h1_5', 'h0_0', 'x_2']",-0.00032002671455333095,0.002781683662174464,0.0400961750702897,x_2,0.014185944005970279,0.022492447780757274,0.0005059102071700928
"['h1_4', 'h0_0', 'x_1']",-0.004419070221616643,-0.004625294853227571,-0.04275274655595564,x_1,-0.017265703876933283,0.022072667272928323,0.000487202640541401
"['h1_0', 'h0_0', 'x_2']",-0.029350368545154198,-0.005421788910383774,0.01449795699409764,x_2,-0.006758066820480111,0.021954683831447216,0.00048200814213880986
"['h1_2', 'h0_0', 'x_0']",-0.04250048060710967,-0.007103664274526094,-0.020507406596326137,x_0,-0.023370517159320633,0.017871253542843933,0.00031938170319261187
"['h1_2', 'h0_2', 'x_2']",0.03695691696863469,0.006177095576721556,0.017832516526781892,x_2,0.020322176357379377,0.015540210931116296,0.0002414981557835864
"['h1_2', 'h0_2', 'x_3']",0.033123022949631764,0.005536286447364218,0.015982579246737027,x_3,0.018213962881244338,0.013928076407194406,0.00019399131240464544
"['h1_2', 'h0_4', 'x_3']",0.032828041202410986,0.005486982268459969,0.015840244135643267,x_3,0.018051755868838074,0.013804037960574776,0.0001905514640169894
"['h1_3', 'h0_0', 'x_0']",-0.020205975383880085,-0.0020463323267169028,0.00672125472992276,x_0,-0.005177017660224742,0.01373389323511376,0.00018861982339350353
"['h1_2', 'h0_4', 'x_2']",0.03084508539377547,0.005155544785058624,0.014883424813853467,x_2,0.016961351664229185,0.01297021430695585,0.0001682264591683622
"['h1_4', 'h0_0', 'x_3']",0.0025488984403969272,0.0026678478156101203,0.02465957849823321,x_3,0.009958774918080086,0.012731408275016086,0.00016208875666514808
"['h1_2', 'h0_2', 'x_0']",0.026849620888495435,0.004487730255414295,0.012955526258813126,x_0,0.014764292467574285,0.011290140148374496,0.00012746726456993766
"['h1_1', 'h0_0', 'x_0']",-0.00022789536087182853,0.0013461367359789771,0.019643867272841026,x_0,0.006920702882649392,0.01104665462189162,0.00012202857833535949
"['h1_2', 'h0_2', 'x_1']",0.026198542906314813,0.0043789070295147435,0.012641366966594205,x_1,0.01440627230080792,0.011016364898553751,0.0001213602955780872
"['h1_5', 'h0_0', 'x_0']",-0.000144959184494393,0.0012599904222151755,0.018161948909940183,x_0,0.006425660049220322,0.010188170984825547,0.00010379882801604117
"['h1_0', 'h0_0', 'x_0']",-0.013294532285699,-0.002455851537415957,0.006566989339100788,x_0,-0.00306113149467139,0.00994458562148714,9.889478318308875e-05
"['h1_4', 'h0_2', 'x_2']",0.0019661924098570457,0.0020579486583582603,0.01902212944425896,x_2,0.007682090170824756,0.009820869250965385,9.64494728445574e-05
"['h1_2', 'h0_4', 'x_1']",0.02292566585421114,0.0038318680441236964,0.01106213257939418,x_1,0.01260655549257634,0.009640135388271088,9.293221030419657e-05
"['h1_2', 'h0_3', 'x_2']",0.022816497957461865,0.0038136213778040395,0.011009456693994224,x_2,0.01254652534308671,0.009594230797695261,9.204926459944423e-05
"['h1_2', 'h0_3', 'x_3']",0.02281649150272412,0.0038136202989388296,0.011009453579442824,x_3,0.012546521793701923,0.009594228083508193,9.20492125183773e-05
"['h1_4', 'h0_4', 'x_3']",0.0018190214751188966,0.0019039097015525399,0.01759830919300227,x_3,0.0071070801232245686,0.009085770030583994,8.255121704865828e-05
"['h1_4', 'h0_2', 'x_3']",0.0017622204896138736,0.0018444579859790938,0.01704878225279982,x_3,0.006885153576130929,0.008802056672128213,7.747620165935679e-05
